,period,stateid,stateName,sector,sectorName,entityid,entityName,plantid,plantName,generatorid,technology,energy_source_code,energy-source-desc,prime_mover_code,balancing_authority_code,balancing-authority-name,status,statusDescription,county,longitude,latitude,nameplate-capacity-mw,operating-year-month,planned-retirement-year-month,unit,nameplate-capacity-mw-units,geometry
0,2024-01,IL,Illinois,ipp-non-chp,IPP Non-CHP,55951,Constellation Nuclear,204,Clinton Power Station,1,Nuclear,NUC,Nuclear,ST,MISO,"Midcontinent Independent Transmission System Operator, Inc..",OP,Operating,DeWitt,-88.8339,40.1719,1138.3,1987-11,,,MW,POINT (-88.8339 40.1719)
1,2024-01,IL,Illinois,ipp-non-chp,IPP Non-CHP,59371,Mainline Generation LLC,862,Grand Tower Energy Center LLC,1,Natural Gas Fired Combined Cycle,NG,Natural Gas,CT,MISO,"Midcontinent Independent Transmission System Operator, Inc..",OS,Out of service and NOT expected to return to service in next calendar year,Jackson,-89.511161,37.6577,223.2,2001-06,,CC01,MW,POINT (-89.511161 37.6577)
2,2024-01,IL,Illinois,ipp-non-chp,IPP Non-CHP,59371,Mainline Generation LLC,862,Grand Tower Energy Center LLC,4,Natural Gas Fired Combined Cycle,NG,Natural Gas,CA,MISO,"Midcontinent Independent Transmission System Operator, Inc..",OS,Out of service and NOT expected to return to service in next calendar year,Jackson,-89.511161,37.6577,113.6,1958-04,,CC02,MW,POINT (-89.511161 37.6577)
3,2024-01,IL,Illinois,ipp-non-chp,IPP Non-CHP,59371,Mainline Generation LLC,862,Grand Tower Energy Center LLC,3,Natural Gas Fired Combined Cycle,NG,Natural Gas,CA,MISO,"Midcontinent Independent Transmission System Operator, Inc..",OS,Out of service and NOT expected to return to service in next calendar year,Jackson,-89.511161,37.6577,80.9,1951-03,,CC01,MW,POINT (-89.511161 37.6577)
4,2024-01,IL,Illinois,ipp-non-chp,IPP Non-CHP,59371,Mainline Generation LLC,862,Grand Tower Energy Center LLC,2,Natural Gas Fired Combined Cycle,NG,Natural Gas,CT,MISO,"Midcontinent Independent Transmission System Operator, Inc..",OS,Out of service and NOT expected to return to service in next calendar year,Jackson,-89.511161,37.6577,223.2,2001-07,,CC02,MW,POINT (-89.511161 37.6577)
5,2024-01,IL,Illinois,ipp-non-chp,IPP Non-CHP,5517,Dynegy Midwest Generation Inc,889,Baldwin Energy Complex,1,Conventional Steam Coal,SUB,Subbituminous Coal,ST,MISO,"Midcontinent Independent Transmission System Operator, Inc..",OP,Operating,Randolph,-89.8544,38.205,625.1,1970-07,2025-12,,MW,POINT (-89.8544 38.205)
6,2024-01,IL,Illinois,ipp-non-chp,IPP Non-CHP,5517,Dynegy Midwest Generation Inc,889,Baldwin Energy Complex,2,Conventional Steam Coal,SUB,Subbituminous Coal,ST,MISO,"Midcontinent Independent Transmission System Operator, Inc..",OP,Operating,Randolph,-89.8544,38.205,634.5,1973-03,2025-12,,MW,POINT (-89.8544 38.205)
7,2024-01,IL,Illinois,electric-utility,Electric Utility,12341,MidAmerican Energy Co,899,Moline,GT1,Natural Gas Fired Combustion Turbine,NG,Natural Gas,GT,MISO,"Midcontinent Independent Transmission System Operator, Inc..",OP,Operating,Rock Island,-90.534021,41.509959,18.0,1970-05,,,MW,POINT (-90.534021 41.509959)
8,2024-01,IL,Illinois,electric-utility,Electric Utility,12341,MidAmerican Energy Co,899,Moline,HY4,Conventional Hydroelectric,WAT,Water,HY,MISO,"Midcontinent Independent Transmission System Operator, Inc..",OP,Operating,Rock Island,-90.534021,41.509959,0.9,1942-01,,,MW,POINT (-90.534021 41.509959)
9,2024-01,IL,Illinois,electric-utility,Electric Utility,12341,MidAmerican Energy Co,899,Moline,HY3,Conventional Hydroelectric,WAT,Water,HY,MISO,"Midcontinent Independent Transmission System Operator, Inc..",OP,Operating,Rock Island,-90.534021,41.509959,0.9,1942-01,,,MW,POINT (-90.534021 41.509959)
10,2024-01,IL,Illinois,electric-utility,Electric Utility,12341,MidAmerican Energy Co,899,Moline,HY2,Conventional Hydroelectric,WAT,Water,HY,MISO,"Midcontinent Independent Transmission System Operator, Inc..",OP,Operating,Rock Island,-90.534021,41.509959,0.9,1942-01,,,MW,POINT (-90.534021 41.509959)
11,2024-01,IL,Illinois,electric-utility,Electric Utility,12341,MidAmerican Energy Co,899,Moline,HY1,Conventional Hydroelectric,WAT,Water,HY,MISO,"Midcontinent Independent Transmission System Operator, Inc..",OP,Operating,Rock Island,-90.534021,41.509959,0.9,1942-01,,,MW,POINT (-90.534021 41.509959)
12,2024-01,IL,Illinois,electric-utility,Electric Utility,12341,MidAmerican Energy Co,899,Moline,GT4,Natural Gas Fired Combustion Turbine,NG,Natural Gas,GT,MISO,"Midcontinent Independent Transmission System Operator, Inc..",OP,Operating,Rock Island,-90.534021,41.509959,18.0,1970-05,,,MW,POINT (-90.534021 41.509959)
13,2024-01,IL,Illinois,electric-utility,Electric Utility,12341,MidAmerican Energy Co,899,Moline,GT3,Natural Gas Fired Combustion Turbine,NG,Natural Gas,GT,MISO,"Midcontinent Independent Transmission System Operator, Inc..",OP,Operating,Rock Island,-90.534021,41.509959,18.0,1970-05,,,MW,POINT (-90.534021 41.509959)
14,2024-01,IL,Illinois,electric-utility,Electric Utility,12341,MidAmerican Energy Co,899,Moline,GT2,Natural Gas Fired Combustion Turbine,NG,Natural Gas,GT,MISO,"Midcontinent Independent Transmission System Operator, Inc..",OP,Operating,Rock Island,-90.534021,41.509959,18.0,1970-05,,,MW,POINT (-90.534021 41.509959)
15,2024-01,IL,Illinois,ipp-non-chp,IPP Non-CHP,57280,"Eagle Creek Renewable Energy, LLC",903,Rockton,1,Conventional Hydroelectric,WAT,Water,HY,MISO,"Midcontinent Independent Transmission System Operator, Inc..",OP,Operating,Winnebago,-89.0756,42.4511,0.6,1929-01,,,MW,POINT (-89.0756 42.4511)
16,2024-01,IL,Illinois,ipp-non-chp,IPP Non-CHP,57280,"Eagle Creek Renewable Energy, LLC",903,Rockton,2,Conventional Hydroelectric,WAT,Water,HY,MISO,"Midcontinent Independent Transmission System Operator, Inc..",OP,Operating,Winnebago,-89.0756,42.4511,0.5,1929-01,,,MW,POINT (-89.0756 42.4511)
17,2024-01,IL,Illinois,electric-utility,Electric Utility,19436,Union Electric Co - (MO),913,Venice,GT5,Natural Gas Fired Combustion Turbine,NG,Natural Gas,GT,MISO,"Midcontinent Independent Transmission System Operator, Inc..",OP,Operating,Madison,-90.1764,38.6642,125.0,2005-10,,,MW,POINT (-90.1764 38.6642)
18,2024-01,IL,Illinois,electric-utility,Electric Utility,19436,Union Electric Co - (MO),913,Venice,GT4,Natural Gas Fired Combustion Turbine,NG,Natural Gas,GT,MISO,"Midcontinent Independent Transmission System Operator, Inc..",OP,Operating,Madison,-90.1764,38.6642,200.0,2005-06,,,MW,POINT (-90.1764 38.6642)
19,2024-01,IL,Illinois,electric-utility,Electric Utility,19436,Union Electric Co - (MO),913,Venice,GT3,Natural Gas Fired Combustion Turbine,NG,Natural Gas,GT,MISO,"Midcontinent Independent Transmission System Operator, Inc..",OP,Operating,Madison,-90.1764,38.6642,200.0,2005-06,,,MW,POINT (-90.1764 38.6642)
20,2024-01,IL,Illinois,electric-utility,Electric Utility,19436,Union Electric Co - (MO),913,Venice,GT2,Natural Gas Fired Combustion Turbine,NG,Natural Gas,GT,MISO,"Midcontinent Independent Transmission System Operator, Inc..",OP,Operating,Madison,-90.1764,38.6642,61.0,2002-06,,,MW,POINT (-90.1764 38.6642)
21,2024-01,IL,Illinois,electric-utility,Electric Utility,2188,City of Breese - (IL),934,Breese,7,Petroleum Liquids,DFO,Disillate Fuel Oil,IC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",SB,Standby/Backup: available for service but not normally used,Clinton,-89.524514,38.607456,2.5,2008-02,,,MW,POINT (-89.524514 38.607456)
22,2024-01,IL,Illinois,electric-utility,Electric Utility,2188,City of Breese - (IL),934,Breese,IC3,Petroleum Liquids,DFO,Disillate Fuel Oil,IC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",SB,Standby/Backup: available for service but not normally used,Clinton,-89.524514,38.607456,3.0,1968-07,,,MW,POINT (-89.524514 38.607456)
23,2024-01,IL,Illinois,electric-utility,Electric Utility,2188,City of Breese - (IL),934,Breese,IC1,Petroleum Liquids,DFO,Disillate Fuel Oil,IC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",SB,Standby/Backup: available for service but not normally used,Clinton,-89.524514,38.607456,0.9,1953-12,,,MW,POINT (-89.524514 38.607456)
24,2024-01,IL,Illinois,electric-utility,Electric Utility,2188,City of Breese - (IL),934,Breese,8,Petroleum Liquids,DFO,Disillate Fuel Oil,IC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",SB,Standby/Backup: available for service but not normally used,Clinton,-89.524514,38.607456,2.5,2014-10,,,MW,POINT (-89.524514 38.607456)
25,2024-01,IL,Illinois,electric-utility,Electric Utility,2188,City of Breese - (IL),934,Breese,6,Petroleum Liquids,DFO,Disillate Fuel Oil,IC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",SB,Standby/Backup: available for service but not normally used,Clinton,-89.524514,38.607456,2.5,1997-07,,,MW,POINT (-89.524514 38.607456)
26,2024-01,IL,Illinois,electric-utility,Electric Utility,2188,City of Breese - (IL),934,Breese,5,Petroleum Liquids,DFO,Disillate Fuel Oil,IC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",SB,Standby/Backup: available for service but not normally used,Clinton,-89.524514,38.607456,2.5,1992-07,,,MW,POINT (-89.524514 38.607456)
27,2024-01,IL,Illinois,electric-utility,Electric Utility,2188,City of Breese - (IL),934,Breese,2,Petroleum Liquids,DFO,Disillate Fuel Oil,IC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",SB,Standby/Backup: available for service but not normally used,Clinton,-89.524514,38.607456,3.0,1982-06,,,MW,POINT (-89.524514 38.607456)
28,2024-01,IL,Illinois,electric-utility,Electric Utility,2634,City of Bushnell - (IL),935,Bushnell,4,Petroleum Liquids,DFO,Disillate Fuel Oil,IC,MISO,"Midcontinent Independent Transmission System Operator, Inc..",SB,Standby/Backup: available for service but not normally used,McDonough,-90.513814,40.548586,2.2,1965-06,,,MW,POINT (-90.513814 40.548586)
